Brand,Model and Version,Seller name,City,Price,Mileage,Year,Gearbox,Fuel,Date,Fiscal Power,Doors,Body,First Hand,Ad Link
CUPRA,Formentor,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/373967/cupra-formentor-.html
LAND-ROVER,Range rover sport,AUTO HICHAM,Casablanca,,68 000,2018,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405565/land-rover-range-rover-sport-.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400265/volkswagen-tiguan-r-line.html
SKODA,Kodiaq,Nom masqué,Casablanca,310 000 Dhs,69 000,2019,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408605/skoda-kodiaq-.html
AUDI,Q5,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/388908/audi-q5-s-line.html
BMW,Serie 5,GLOBAL OCCAZ,Casablanca,495 000 Dhs,64 000,2019,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403311/bmw-serie-5-.html
VOLVO,S90,LAHLOU,Casablanca,340 000 Dhs,95 000,2019,Automatique,Diesel,13-12-2022,8,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/386662/volvo-s90-d4-momentum-polestar-engineered.html
PORSCHE,Macan,AUTO HICHAM,Casablanca,,10 000,2018,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404701/porsche-macan-.html
MERCEDES,Classe c,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,9,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/395574/mercedes-classe-c-pack-amg.html
VOLKSWAGEN,Tiguan,Nom masqué,Casablanca,,165 000,2016,Manuelle,Diesel,13-12-2022,,,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402249/volkswagen-tiguan-.html
MERCEDES,Classe e,PLATINIUM AUTO,Casablanca,,120 000,2016,Automatique,Diesel,13-12-2022,9,4,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393786/mercedes-classe-e-220d.html
VOLKSWAGEN,Touareg,AUTO GHALI,Casablanca,,80 000,2021,Automatique,Diesel,13-12-2022,,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402309/volkswagen-touareg-.html
AUDI,A3,ETOILE CAR,Casablanca,,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408427/audi-a3-s-line-40-tdi-quattro.html
JEEP,Grand cherokee,BOURGOGNE AUTO,Casablanca,,139 000,2016,Automatique,Diesel,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400717/jeep-grand-cherokee-.html
JEEP,Compass,STELLANTIS &YOU CASABLANCA,Casablanca,275 000 Dhs,31 135,2021,Manuelle,Diesel,11/12/2022,6,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406969/jeep-compass-ed.html
HYUNDAI,I30,AUTO AYMANE,Casablanca,,79 000,2017,Manuelle,Diesel,13-12-2022,6,,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408712/hyundai-i30-.html
AUDI,A1,AUTO GHALI,Casablanca,,40 000,2021,Manuelle,Essence,13-12-2022,,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/388514/audi-a1-.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404828/volkswagen-tiguan-r-line.html
MERCEDES,Classe c coupe,CAR & SHOP,Casablanca,,14 000,2019,Automatique,Diesel,13-12-2022,8,3,Coupé,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400612/mercedes-classe-c-coupe-.html
AUDI,Q3,ETOILE CAR,Casablanca,585 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Crossover,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408435/audi-q3-35-tdi.html
TOYOTA,Hilux,ETOILE CAR,Casablanca,700 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,9,5,Pick up​,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408434/toyota-hilux-.html
VOLKSWAGEN,Tiguan,BOURGOGNE AUTO,Casablanca,299 000 Dhs,119 000,2017,Automatique,Diesel,12/12/2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400725/volkswagen-tiguan-.html
MERCEDES,Classe e,HIVERNAGE AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,9,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/348034/mercedes-classe-e-220-pack-amg.html
LAND-ROVER,Range rover evoque,AUTO GHALI,Casablanca,,75 000,2021,Automatique,Diesel,13-12-2022,9,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407059/land-rover-range-rover-evoque-.html
VOLKSWAGEN,Caddy,AUTO GHALI,Casablanca,,17 000,2022,Automatique,Diesel,13-12-2022,8,5,Utilitaire (minivan),Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407172/volkswagen-caddy-.html
BMW,X5,CARMA AUTO,Casablanca,,4 000,2022,Automatique,Hybride,13-12-2022,17,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404817/bmw-x5-.html
MERCEDES,Classe c,AUTO REDA,Casablanca,200 000 Dhs,179 000,2012,Automatique,Diesel,13-12-2022,8,,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407964/mercedes-classe-c-.html
MERCEDES,Cla,ETOILE CAR,Casablanca,310 000 Dhs,89 000,2018,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408443/mercedes-cla-220d.html
RENAULT,Kadjar,AUTO AYMANE,Casablanca,,83 000,2018,Automatique,Diesel,13-12-2022,6,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399651/renault-kadjar-dci.html
MERCEDES,Classe c,GT AUTO,Casablanca,,21 000,2021,Automatique,Diesel,13-12-2022,9,,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406635/mercedes-classe-c-pack-amg-line-plus.html
PORSCHE,Cayenne coupe,AUTO GHALI,Casablanca,,,2022,Automatique,Hybride,13-12-2022,12,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403644/porsche-cayenne-coupe-.html
AUTRE,Autre,ETOILE CAR,Casablanca,225 000 Dhs,19 000,2021,Automatique,Essence,13-12-2022,8,3,Micro-citadine,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408430/autre-autre-.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,60 000,2021,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/394951/volkswagen-tiguan-r-line.html
JEEP,Compass,STELLANTIS &YOU CASABLANCA,Casablanca,275 000 Dhs,26 330,2021,Manuelle,Diesel,13-12-2022,6,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406970/jeep-compass-ed.html
VOLKSWAGEN,New beetle,GT AUTO,Casablanca,,17 000,2020,Automatique,Diesel,13-12-2022,8,,Coupé,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398880/volkswagen-new-beetle-200.html
MINI,Cooper,ETOILE CAR,Casablanca,410 000 Dhs,4 000,2022,Automatique,Essence,13-12-2022,9,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408438/mini-cooper-.html
FIAT,500,PROMORENT AUTO,Casablanca,,49 000,2019,Automatique,Essence,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399440/fiat-500-.html
LAND-ROVER,Range rover sport,AUTO HICHAM,Casablanca,,70 000,2019,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405567/land-rover-range-rover-sport-.html
LAND-ROVER,Range rover vogue,GT AUTO,Casablanca,,80 000,2018,Automatique,Diesel,13-12-2022,12,4,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/384264/land-rover-range-rover-vogue-.html
